,0,1,2,3
505,0.36,0.22,0.0,0.0
506,5.0,5.0,0.1,4.03
507,4.77,4.63,0.0,4.34
508,5.0,3.46,0.0,3.08
509,0.0,2.46,0.55,1.63
510,0.18,0.49,0.42,0.1
511,4.69,3.27,0.32,3.91
512,4.59,3.65,0.0,4.57
513,4.16,4.51,0.0,0.4
514,5.0,4.55,0.0,1.21
515,4.2,3.45,0.39,3.73
516,3.54,3.56,0.0,2.58
517,4.86,5.0,0.0,1.25
518,3.37,4.85,0.06,0.65
519,4.6,4.6,0.38,4.8
520,4.29,4.1,0.33,3.78
521,4.64,4.69,0.0,3.64
522,0.54,4.29,0.07,3.75
523,2.34,3.83,0.4,2.22
524,0.02,0.1,0.0,1.96
525,3.76,3.73,0.0,2.29
526,0.91,1.76,0.5,0.0
527,1.03,1.66,0.0,0.27
528,1.26,2.51,0.16,0.0
529,4.22,4.44,0.0,1.29
530,0.72,2.61,0.0,1.05
531,1.62,2.67,0.31,2.1
532,0.0,0.0,0.09,0.13
533,4.08,3.55,0.0,3.93
534,0.77,0.5,0.0,0.53
535,3.19,3.27,0.0,0.1
536,0.3,1.89,0.17,0.0
537,0.1,1.85,0.0,0.27
538,0.01,0.87,0.09,0.63
539,1.37,0.77,0.36,0.1
540,0.0,0.0,0.0,0.04
541,4.33,4.01,0.21,3.0
542,4.07,4.37,0.24,1.26
543,2.67,2.41,0.51,2.49
544,3.66,3.45,0.5,0.78
545,3.27,1.3,0.04,0.37
546,3.07,3.59,0.33,0.3
547,4.81,4.9,0.19,5.0
548,2.67,2.83,0.01,2.18
549,4.52,5.0,0.0,5.0
550,5.0,4.76,0.0,4.82
551,0.0,0.0,0.7,0.0
552,4.63,4.78,0.0,0.19
553,0.17,0.49,0.0,0.0
554,0.0,0.42,0.19,0.1
555,0.0,0.0,0.0,0.59
556,0.0,0.26,0.0,0.0
557,4.38,3.12,0.04,3.41
558,4.9,4.9,0.0,4.93
559,3.08,3.97,0.0,2.38
560,5.0,5.0,0.38,3.44
561,0.0,3.14,0.0,0.0
562,4.8,4.19,0.0,3.12
563,5.0,4.83,0.0,4.68
564,4.96,4.92,0.0,5.0
565,3.0,4.8,0.0,2.5
566,0.78,2.3,1.33,2.5
567,0.0,1.82,1.77,2.17
568,0.0,3.6,0.31,3.66
569,0.0,3.62,0.04,4.5
570,0.43,4.13,0.16,5.0
571,1.19,3.55,0.0,4.94
572,2.48,1.49,0.04,4.39
573,4.34,4.52,0.12,4.85
574,4.33,4.14,0.42,4.87
575,4.55,4.35,0.0,5.0
576,1.81,3.34,0.0,1.13
577,0.67,0.7,0.0,1.21
578,4.39,5.0,0.0,5.0
